  Class ,  z ,  b ,  c ,  H ,  Mem ,  Runs ,  Th ,  FP% ,  MinB ,  MaxB ,  AvgB ,  MinL ,  MaxL ,  AvgL ,  MinTime ,  MaxTime ,  AvgTime ,  MinHops ,  MaxHops ,  AvgHops ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  22  ,  22  ,  22.0  ,  1.5925925925925926  ,  2.3703703703703702  ,  1.9820911111110644  ,  43  ,  64  ,  53.51646  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  23  ,  23  ,  23.0  ,  1.5714285714285714  ,  2.357142857142857  ,  1.9638974999998058  ,  44  ,  66  ,  54.98913  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  24  ,  24  ,  24.0  ,  1.5517241379310345  ,  2.3448275862068964  ,  1.9481027586205923  ,  45  ,  68  ,  56.49498  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  25  ,  25  ,  25.0  ,  1.5333333333333334  ,  2.3333333333333335  ,  1.9317340000002363  ,  46  ,  70  ,  57.95202  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  26  ,  26  ,  26.0  ,  1.5161290322580645  ,  2.3225806451612905  ,  1.9200761290328103  ,  47  ,  72  ,  59.52236  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  27  ,  27  ,  27.0  ,  1.5  ,  2.3125  ,  1.9075553125  ,  48  ,  74  ,  61.04177  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  28  ,  28  ,  28.0  ,  1.4848484848484849  ,  2.303030303030303  ,  1.8940045454541172  ,  49  ,  76  ,  62.50215  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  29  ,  29  ,  29.0  ,  1.4705882352941178  ,  2.2941176470588234  ,  1.8819747058821128  ,  50  ,  78  ,  63.98714  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  30  ,  30  ,  30.0  ,  1.457142857142857  ,  2.2857142857142856  ,  1.8716274285715615  ,  51  ,  80  ,  65.50696  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  31  ,  31  ,  31.0  ,  1.4444444444444444  ,  2.2777777777777777  ,  1.8611855555554515  ,  52  ,  82  ,  67.00268  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  3  ,  3  ,  3.0  ,  1.375  ,  1.625  ,  1.499535  ,  11  ,  13  ,  11.99628  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  4  ,  4  ,  4.0  ,  1.4444444444444444  ,  1.7777777777777777  ,  1.6110777777783596  ,  13  ,  16  ,  14.4997  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  5  ,  5  ,  5.0  ,  1.5  ,  1.9  ,  1.7001830000000235  ,  15  ,  19  ,  17.00183  ,
