LoopVal, B, b, Hops
2,1,2,8
2,2,2,8
2,3,2,6
2,4,2,8
2,1,3,8
2,2,3,8
2,3,3,6
2,4,3,8
2,1,4,8
2,2,4,8
2,3,4,6
2,4,4,8
2,1,5,8
2,2,5,8
2,3,5,6
2,4,5,8
2,1,6,8
2,2,6,8
2,3,6,6
2,4,6,8
2,1,7,8
2,2,7,8
2,3,7,6
2,4,7,8
2,1,8,8
2,2,8,8
2,3,8,6
2,4,8,8
2,1,9,8
2,2,9,8
2,3,9,6
2,4,9,8
reroute_src_complex_results.csv
